# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:91	the Residency	->	Taigh an Àrd-mhaoir	|	-priests had their own answer, and it was not one the Residency had asked for.
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:93	the Company	->	A' Chompanaidh	|	ned at last toward those who had done the eating: the Company, and the Administration behin
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:93	the Administration	->	Riaghaltas nan Coigreach	|	d those who had done the eating: the Company, and the Administration behind it, and every hand tha
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:97	the Company's	->	A' Chompanaidh's	|	ere the hawk-faithful fishing families had chased the Company's first customs officers off th
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:99	the druid school	->	Scoiltean nan Draoidhean	|	 and mostly among themselves, the disputations of the druid school that the Administration had s
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:99	the Administration	->	Riaghaltas nan Coigreach	|	selves, the disputations of the druid school that the Administration had shut at Dùn thais years b
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:101	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	a-thìreach villages beside them. At Cathair gheal the Mission's hospital filled past anything
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:103	a Mission clerk	->	a clerk of Teachdaireachd na h-Eaglaise	|	 ago," she wrote, in a letter set down for her by a Mission clerk that went the rounds of the b
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:105	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	t rolled under the boy's head, and had said, when the Mission's sister thanked him for it in 
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:111	the Administration	->	Riaghaltas nan Coigreach	|	of how much easier, in the end, it had proved for the Administration to build a wall for men who w
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:113	the burial club's	->	Comann an Adhlacaidh's	|	hose, in the end, to bring before the room behind the burial club's hall, on an evening in Giblea
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:115	the burial club's	->	Comann an Adhlacaidh's	|	on the lamp rather than on her, an old woman from the burial club's own rolls nodding at the part
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:10	the coal road	->	Rathad na Mèinne	|	use again in the first years of the digging, when the coal road was new mud and the carters s
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:14	the coal road	->	Rathad na Mèinne	|	It began, as most things on the coal road began, with a man Aonghas had
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:14	a Company cart	->	a cart of A' Chompanaidh	|	se. A crew-leader from Baile thais came down with a Company cart of scrap iron and asked, over
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:16	the coal road	->	Rathad na Mèinne	|	m what was on the list. It was not a thing men on the coal road asked one another in those ye
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:18	The Administration	->	Riaghaltas nan Coigreach	|	The Administration called none of this by any na
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:18	a Company board	->	a board of A' Chompanaidh	|	e. There was no order posted, no notice nailed to a Company board, because there was nothing ye
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:22	any Company chart	->	any chart of A' Chompanaidh	|	, there was a harbour too small to have a name in any Company chart, though the fishermen who wor
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:22	the Company's	->	A' Chompanaidh's	|	nder than herring and the odd cargo of slate, and the Company's agents, who counted every bar
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:24	the silver guild's	->	Comann an Airgid's	|	ights' work that were never spoken of as work, in the silver guild's bar, cut small, rather than i
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:24	the Administration	->	Riaghaltas nan Coigreach	|	r guild's bar, cut small, rather than in the coin the Administration minted at Ros dhomhain. Nobod
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:24	a Company clerk	->	a clerk of A' Chompanaidh	|	 the fishermen, was fool enough to spend it where a Company clerk might see it change hands. It
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:26	the Company's	->	A' Chompanaidh's	|	road was never once, in two years, found empty by the Company's carters passing through, and 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:26	the coal road	->	Rathad na Mèinne	|	g to say and a truer one than most things said on the coal road in those years, and he carrie
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:30	the Company	->	A' Chompanaidh	|	, moved slower than silver and faster than either the Company or the Administration ever ma
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:30	the Administration	->	Riaghaltas nan Coigreach	|	than silver and faster than either the Company or the Administration ever managed to learn. It mov
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:30	the silver guild	->	Comann an Airgid	|	per took his rent, openly and by the season, from the silver guild of Muileann chiar, and who ne
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:30	the Lamp-Watch	->	Faire nan Lòchran	|	t a letter that was worth the losing. Through him the Lamp-Watch sent its word to the guild an
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:30	the Administration	->	Riaghaltas nan Coigreach	|	the guild and the guild sent its silver back, and the Administration, whose own post rode the same
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:40	the Company's	->	A' Chompanaidh's	|	or place now, its households few since it refused the Company's first contract and lost its w
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:44	the Administration's	->	Riaghaltas nan Coigreach's	|	hour, without a single order carried by any rider the Administration's own scouts could find. At Mui
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:44	the Administration	->	Riaghaltas nan Coigreach	|	all the same; their crew-leaders were among those the Administration later took and never gave bac
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:44	the Lamp-Watch	->	Faire nan Lòchran	|	Quarrymen at Cnoc gheal, who cut no coal and owed the Lamp-Watch no debt that any ledger recor
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:46	The Administration's	->	Riaghaltas nan Coigreach's	|	ame hour the smoke went up from Cnoc an Rabhaidh. The Administration's own agents, writing it down a
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:46	the Company's	->	A' Chompanaidh's	|	ation's own agents, writing it down afterward for the Company's ledgers, called it the first 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:52	The coal road	->	Rathad na Mèinne	|	he house had seen in any six days of his keeping. The coal road itself stood nearly empty; th
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:54	the Company's	->	A' Chompanaidh's	|	At Ros dhomhain the Company's steamships lay six days at th
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:56	the Company's	->	A' Chompanaidh's	|	reement. As the year went out the constables shut the Company's stores in every district of t
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:56	the Administration	->	Riaghaltas nan Coigreach	|	rty-two of them were let go inside the fortnight, the Administration having found, on reflection, 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:56	a Company ship	->	a ship of A' Chompanaidh	|	their own ground. The remaining eight went aboard a Company ship at Ros dhomhain and were carr
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:62	the five beacons	->	Fàinne nan Teintean-rabhaidh	|	d is everywhere at once. The keepers' daybooks at the five beacons of the ring, whose only busin
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:62	the Company's	->	A' Chompanaidh's	|	ds that built them had troubles of their own that the Company's letters never named outright,
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:64	the Company's	->	A' Chompanaidh's	|	, who had for two generations sold nothing but by the Company's weight and at the Company's p
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:64	the Company's	->	A' Chompanaidh's	|	s sold nothing but by the Company's weight and at the Company's price, began quietly, against
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:64	the Company's	->	A' Chompanaidh's	|	 the north. At Caol bheag, on the northern coast, the Company's quay, built at no small cost 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:64	the coal road	->	Rathad na Mèinne	|	 had been forgotten, and got, so far as anyone on the coal road ever heard, no answer at all.
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:68	the Residency's	->	Taigh an Àrd-mhaoir's	|	square, more by chance than by design, on the day the Residency's notice was read aloud from it
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:70	the Commissioner's	->	An t-Àrd-mhaor's	|	tice, that Charles Merriman had gone. He had held the Commissioner's seat fourteen years, since th
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:70	the Administration	->	Riaghaltas nan Coigreach	|	e island had ever sent him. In his fourteen years the Administration had begun, by such small and 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:72	the Residency's	->	Taigh an Àrd-mhaoir's	|	e listened, to the reading of his commission from the Residency's own steps, a long document in
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:72	the Company	->	A' Chompanaidh	|	 the authority under which he held them. It named the Company. It named the Administration 
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:72	the Administration	->	Riaghaltas nan Coigreach	|	hich he held them. It named the Company. It named the Administration in an Tìr Thall. Nowhere in t
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:72	the Council of Custodians	->	Comhairle a' Chùraim	|	ll. Nowhere in the whole length of it did it name the Council of Custodians, not once, not even in the ol
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:72	Commissioner's	->	Àrd-mhaor's	|	mula, *with the leave and counsel of*, that every Commissioner's commission before it, back to
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:74	the coal road	->	Rathad na Mèinne	|	He bought his salt and his nails and rode home up the coal road in the dark, past An Sligeana
CHANGE	eras/age_V/book/35_of_the_houses_on_the_roads.md:74	the coal road	->	Rathad na Mèinne	|	left nothing, and the house he looked at was only the coal road itself, running east into the
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:7	the Administration's	->	Riaghaltas nan Coigreach's	|	into the fight at the pithead, where she had told the Administration's table plainly that the pumps 
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:7	The Lamp-Watch	->	Faire nan Lòchran	|	k draw a line through the words as she said them. The Lamp-Watch had a copy of her testimony a
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:7	the burial club's	->	Comann an Adhlacaidh's	|	had a copy of her testimony all the same, kept in the burial club's box under the false bottom wi
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:13	the Residency	->	Taigh an Àrd-mhaoir	|	tern silver country, and that Strake, new come to the Residency, meant to have on paper what 
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:13	the Company's	->	A' Chompanaidh's	|	t to have on paper what the ground would not give the Company's surveyors on foot.
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:15	the Residency	->	Taigh an Àrd-mhaoir	|	eave for anything. His commission was read out at the Residency to an empty bench where the C
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:15	the Council of Custodians	->	Comhairle a' Chùraim	|	read out at the Residency to an empty bench where the Council of Custodians' seats had always stood, and 
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:15	the second petition	->	An Dàrna Athchuinge	|	d lost his clerkship at Cnoc dhìreach for signing the second petition and had taken to riding the d
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:17	the Residency	->	Taigh an Àrd-mhaoir	|	 dhearg, doors and all, and the keys gone down to the Residency in a soldier's pocket. The cu
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:17	the Residency's	->	Taigh an Àrd-mhaoir's	|	hem in when nobody else in the capital would risk the Residency's temper."
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:25	the Residency's	->	Taigh an Àrd-mhaoir's	|	The edict came down in the autumn, printed in the Residency's own press and nailed to the c
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:25	the Administration	->	Riaghaltas nan Coigreach	|	g and the edict asked for neither. It claimed for the Administration the right to take any dwellin
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:25	the Administration	->	Riaghaltas nan Coigreach	|	dful for the widening of the workings, at a price the Administration itself would set, and it gave
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:27	the Company's	->	A' Chompanaidh's	|	llage whose custodian, Beathag Dhubh, had refused the Company's contract at her own door more
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:27	the Company	->	A' Chompanaidh	|	s were the first emptied now under the last edict the Company would ever write. She stood a
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:33	the Company's	->	A' Chompanaidh's	|	 nearer still, the camp that had been laid out on the Company's own paper before a stone of i
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:33	The Company	->	A' Chompanaidh	|	 said the new galleries would need before winter. The Company offered huts at Àth ìseal and
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:35	the Company	->	A' Chompanaidh	|	that surprised her almost as much as it surprised the Company.
CHANGE	eras/age_V/book/36_of_the_breaking_of_the_staff.md:39	the Company's	->	A' Chompanaidh's	|	chrom itself in the height of the next summer, on the Company's own printed form with her own
